question,notes
What is the annual licence cost of the FleetLink software?,"Near miss. Manual describes the system in detail but names no price anywhere."
What is the IP address of the FleetLink production database server?,"Near miss. Architecture and integrations are described; no host or address is given."
How many pallets does the Bhiwandi Unit II cold room hold?,"Near miss. Area, docks and temperature range are stated; cold room capacity is not."
What fuel escalation percentage is currently applied on the Bhiwandi to Hosur lane?,"Near miss. Fuel escalation as a mechanism is explained and both facilities are named; no lane rate values exist."
Who is the Security Officer on the night shift at Chakan?,"Roles and responsibilities are defined by role, never by named individual."
What was Northbridge's revenue for FY 2026?,"Report covers FY 2021 to FY 2025 only. FY 2026 has not happened at the reporting date."
How many shares does the Chairman personally hold?,"Remuneration and related party dealings are disclosed; individual shareholding is not."
What is the market share of Northbridge in Indian third-party logistics?,"Industry structure is discussed qualitatively; no market share figure is given."
What is the starting salary for a warehouse operator at Ball State University?,"Onboarding guide covers process only. No pay scales in any document."
How many vacation days does a University Services employee accrue per year?,"Handbook defers accrual to the collective bargaining agreement, which is not in the corpus."
What is the University Services employee health insurance premium?,"Benefits are listed by type; no premium amount appears."
Which vendor was awarded Troy University RFP 26-004?,"Award decision is dated TBD. The outcome is not in the package."
How many CRM licences does Troy University currently hold with Ellucian Recruit?,"Ellucian Recruit is named as the legacy system; no licence count is stated."
What is Troy University's total budget for the CRM implementation?,"RFP requires vendors to price the work; no University budget figure is disclosed."
What is the penalty for late delivery under the CRM contract?,"Service credits are mentioned as possible remedies, but no penalty amount or formula is defined."
How do I reset my Milvus password?,"Off topic entirely. Nothing in the corpus relates to this system."
What does the company's parental leave policy say for employees in Germany?,"Leave policies in the corpus are Minnesota and Indiana specific. No German entity exists."
