opening,followup,expected_doc,expected_page,notes
What is the most restrictive borrowing covenant and what was the actual ratio at 31 March 2025?,And what does the covenant require?,Northbridge_Logistics_Annual_Report_FY2025.pdf,23,"Reads as a whole sentence but 'the covenant' comes from the previous turn."
What is the minimum password length in FleetLink?,And what is the maximum age?,FleetLink_TMS_User_Manual_v4.2.pdf,5,"Same table. 'Age' means password age only in context."
What was the cold chain segment margin in FY 2025?,And what was the revenue?,Northbridge_Logistics_Annual_Report_FY2025.pdf,8,"Revenue of what, and for when, both come from the previous turn."
Who is the only authority that may approve a critical deviation?,And who investigates the deviation?,NBL_SOP_WH_014_Inbound_Receiving_Rev6.pdf,26,"'The deviation' names what the previous turn introduced."
How are the 100 evaluation points weighted?,And how many points for fees?,26-004-crm-software-rfp-package.pdf,21,"Known miss: the rewrite keeps 'points' but drops '100 evaluation', and the top hit lands just under the gate."
Which docks at Bhiwandi Unit II are permitted for temperature-controlled receipt?,And which docks are used for ambient?,NBL_SOP_WH_014_Inbound_Receiving_Rev6.pdf,7,"The site name has to be carried over."
How long does FleetLink retain the audit trail of a record being created or amended?,And what is the retention period for exceptions?,FleetLink_TMS_User_Manual_v4.2.pdf,21,"'Retention period' is generic without the system name."
How much notice does the University request from an employee who resigns?,And what is the notice period for termination?,university_services_employee_handbook_2018_final.pdf,14,"Nearly standalone. Included as a case the rewrite should leave mostly alone."
What was the cold chain segment margin in FY 2025?,And what revenue did it have?,Northbridge_Logistics_Annual_Report_FY2025.pdf,8,"Elliptical: 'it' is the segment."
Which docks at Bhiwandi Unit II are permitted for temperature-controlled receipt?,Why only those?,NBL_SOP_WH_014_Inbound_Receiving_Rev6.pdf,7,"Elliptical with no noun at all."
Who selects the onboarding coordinator and the onboarding partner?,What does that coordinator do on the first day?,New Employee Onboarding Supervisor Guide 2020.pdf,6,"Answer is on a different page from the opening question."
How is overtime defined and at what rate is it compensated?,And what breaks are given in a full workday?,university_services_employee_handbook_2018_final.pdf,42,"A new subject in the same document: the rewrite must not drag overtime along."
What is the cumulative target time from gate entry to putaway confirmation for an ambient consignment?,And for temperature-controlled?,NBL_SOP_WH_014_Inbound_Receiving_Rev6.pdf,6,"Two words, and the whole question has to be rebuilt around them."
What minimum residual shelf life is required at receipt for pharmaceutical formulations?,When can that be relaxed?,NBL_SOP_WH_014_Inbound_Receiving_Rev6.pdf,10,"'That' is the requirement named in the previous turn."
