question,expected_doc,expected_page,notes
What is the minimum password length in FleetLink?,FleetLink_TMS_User_Manual_v4.2.pdf,5,"Answer: 12 characters. Password rules table 3.2."
Why can a single user not hold both the Inbound Executive and Quality Disposition roles?,FleetLink_TMS_User_Manual_v4.2.pdf,7,"Answer: the same person would accept a quantity and clear it for release. Segregation of duties 5.1."
Which exception codes require a photograph before the record can be saved?,FleetLink_TMS_User_Manual_v4.2.pdf,16,"Answer: D-05, D-07, D-08, D-11, D-12. Exception code table 12.2."
How long does FleetLink retain the audit trail of a record being created or amended?,FleetLink_TMS_User_Manual_v4.2.pdf,21,"Answer: 8 years. Audit trail retention table 17.2."
What is the cumulative target time from gate entry to putaway confirmation for an ambient consignment?,NBL_SOP_WH_014_Inbound_Receiving_Rev6.pdf,6,"Answer: eight working hours, six for temperature-controlled. Process overview."
What minimum residual shelf life is required at receipt for pharmaceutical formulations?,NBL_SOP_WH_014_Inbound_Receiving_Rev6.pdf,10,"Answer: 85 per cent of total shelf life, relaxed only on customer written instruction."
Which docks at Bhiwandi Unit II are permitted for temperature-controlled receipt?,NBL_SOP_WH_014_Inbound_Receiving_Rev6.pdf,7,"Answer: D5 and D6 only, the only docks fitted with dock shelters."
Who is the only authority that may approve a critical deviation?,NBL_SOP_WH_014_Inbound_Receiving_Rev6.pdf,26,"Answer: Head - Quality Assurance only. Deviation classification 25.1."
What dividend per equity share did the Directors recommend for the year ended 31 March 2025?,Northbridge_Logistics_Annual_Report_FY2025.pdf,5,"Answer: 6.00 per share against 5.00 the preceding year. Board's Report 3.2."
What was the cold chain segment margin in FY 2025?,Northbridge_Logistics_Annual_Report_FY2025.pdf,8,"Answer: 14.1 per cent on revenue of 256.8 crore. Segment performance table 4.2."
What weighted average incremental borrowing rate was applied to lease liabilities recognised during the year?,Northbridge_Logistics_Annual_Report_FY2025.pdf,22,"Answer: 9.15 per cent. Note 4, right-of-use assets."
What is the most restrictive borrowing covenant and what was the actual ratio at 31 March 2025?,Northbridge_Logistics_Annual_Report_FY2025.pdf,23,"Answer: total debt to EBITDA below 3.00 times; actual 1.95 times. Note 18."
Who selects the onboarding coordinator and the onboarding partner?,New Employee Onboarding Supervisor Guide 2020.pdf,4,"Answer: the supervisor. Key roles and responsibilities."
Where does a new employee obtain a BSU photo ID?,New Employee Onboarding Supervisor Guide 2020.pdf,6,"Answer: Bracken Library, Room 001. First day, Onboarding Coordinator tasks."
When are formal UHRS annual performance evaluations carried out?,New Employee Onboarding Supervisor Guide 2020.pdf,9,"Answer: March/April, which may not coincide with the one-year anniversary."
How long does the onboarding process last?,New Employee Onboarding Supervisor Guide 2020.pdf,3,"Answer: begins before the start date and lasts through the first six to twelve months. Overview."
How much notice does the University request from an employee who resigns?,university_services_employee_handbook_2018_final.pdf,14,"Answer: at least two weeks' written notice before the last day."
How is overtime defined and at what rate is it compensated?,university_services_employee_handbook_2018_final.pdf,17,"Answer: time worked over 40 hours per work week, paid or comp time at time and a half."
At what point must a supervisor review an employee's sick leave usage?,university_services_employee_handbook_2018_final.pdf,21,"Answer: when use reaches three occurrences in any six-month period."
What break and lunch periods does an employee get in a full workday?,university_services_employee_handbook_2018_final.pdf,42,"Answer: two paid 15 minute breaks and one 30 minute unpaid lunch; breaks are not cumulative."
Whom may a bidder contact for clarification between 27 February and 10 March 2026?,26-004-crm-software-rfp-package.pdf,6,"Answer: Blake Bedsole (cbbedsole@troy.edu) or Sarah Richards (bids@troy.edu). Examination of RFP document."
How long must a submitted proposal remain valid?,26-004-crm-software-rfp-package.pdf,7,"Answer: six months after the proposal due date."
How are the 100 evaluation points weighted?,26-004-crm-software-rfp-package.pdf,21,"Answer: 15 corporate structure and experience, 55 operation plan and services, 30 fees."
May the vendor price the CRM per named or concurrent user?,26-004-crm-software-rfp-package.pdf,12,"Answer: no. Pricing must be based on institutional workload or volume. Requirement II."
